region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
279,2,0.1272,0.478,TRUE,TRUE,FALSE,0.3618,0.6884
280,2,0.0019,0.1135,FALSE,TRUE,FALSE,0.0101,0.2714
281,2,0.0339,0.7486,TRUE,TRUE,FALSE,0.1357,0.8291
282,2,1e-4,0.0104,FALSE,TRUE,FALSE,0.0151,0.0603
283,2,0.0982,0.2574,TRUE,TRUE,FALSE,0.2714,0.4925
284,2,0.0211,0.028,TRUE,TRUE,FALSE,0.0503,0.0553
285,2,0.0071,0.0309,FALSE,TRUE,FALSE,0.0653,0.1256
286,2,0.0096,0.3004,FALSE,TRUE,FALSE,0.0352,0.5075
287,2,0.0012,0.2703,FALSE,TRUE,FALSE,0.0302,0.5025
288,1,0.0076,NA,FALSE,NA,TRUE,0.0603,0.0905
289,2,0,3e-4,FALSE,FALSE,FALSE,0,0
290,2,0.0044,0.2368,FALSE,TRUE,FALSE,0.0653,0.4271
291,2,1e-4,0.3096,FALSE,TRUE,FALSE,0,0.5477
292,2,4e-4,0.4031,FALSE,TRUE,FALSE,0.0151,0.5628
293,1,0.0501,NA,TRUE,NA,FALSE,0.1709,0.1558
294,2,0.0088,0.3294,FALSE,TRUE,FALSE,0.0704,0.4623
295,1,0.1675,NA,TRUE,NA,FALSE,0.2814,0.2965
296,2,0,1e-4,FALSE,FALSE,FALSE,0.005,0.005
297,2,0.015,0.1595,TRUE,TRUE,FALSE,0.0402,0.3015
298,2,0.0157,0.0082,TRUE,FALSE,FALSE,0.0653,0.0151
299,2,0.189,0.3147,TRUE,TRUE,FALSE,0.3568,0.5377
300,2,7e-4,0.3231,FALSE,TRUE,FALSE,0.005,0.5276
301,2,0.0289,0.0619,TRUE,TRUE,FALSE,0.1407,0.1859
302,2,0.0295,0.0563,TRUE,TRUE,FALSE,0.1106,0.201
303,2,0.0926,0.0195,TRUE,TRUE,FALSE,0.1608,0.0854
304,2,0.0104,0.166,TRUE,TRUE,FALSE,0.0503,0.3467
305,1,0.2657,NA,TRUE,NA,FALSE,0.392,0.4623
306,2,0,0,FALSE,FALSE,FALSE,0.005,0
307,2,0.04,0.4375,TRUE,TRUE,FALSE,0.196,0.6382
308,1,0.3515,NA,TRUE,NA,FALSE,0.4824,0.4774
309,2,0.0017,0.0432,FALSE,TRUE,FALSE,0.0452,0.206
310,2,0.0644,0.0382,TRUE,TRUE,FALSE,0.1508,0.1407
311,2,0.1176,0.3769,TRUE,TRUE,FALSE,0.2663,0.5226
312,2,0.0236,0.8656,TRUE,TRUE,FALSE,0.1106,0.9296
313,2,1e-4,0.0394,FALSE,TRUE,FALSE,0.0101,0.1658
314,2,1e-4,0.4662,FALSE,TRUE,FALSE,0,0.6482
315,2,0.0669,0.2106,TRUE,TRUE,FALSE,0.2613,0.402
316,2,0.0048,0.3741,FALSE,TRUE,FALSE,0.0352,0.5578
317,2,0.0016,0.72,FALSE,TRUE,FALSE,0.0302,0.8894
318,2,0.0316,0.2616,TRUE,TRUE,FALSE,0.1709,0.4824
319,2,0.2054,0.0102,TRUE,TRUE,FALSE,0.4623,0.0854
320,2,0,0,FALSE,FALSE,FALSE,0,0
321,2,2e-4,0.9229,FALSE,TRUE,FALSE,0.0101,0.9447
322,2,2e-4,0.7251,FALSE,TRUE,FALSE,0.0101,0.8191
323,1,0.0689,NA,TRUE,NA,FALSE,0.191,0.206
324,1,0.0789,NA,TRUE,NA,FALSE,0.201,0.2412
325,2,6e-4,0.0976,FALSE,TRUE,FALSE,0.0251,0.3166
326,2,0.0076,0.6618,FALSE,TRUE,FALSE,0.0804,0.809
327,2,1e-4,0.4213,FALSE,TRUE,FALSE,0.005,0.6231
328,2,2e-4,7e-4,FALSE,FALSE,FALSE,0.005,0.0101
329,2,6e-4,0.2974,FALSE,TRUE,FALSE,0.0151,0.4121
330,2,0.1041,0.7901,TRUE,TRUE,FALSE,0.2161,0.8593
331,2,0.0066,0.3065,FALSE,TRUE,FALSE,0.0452,0.4824
332,2,0.0119,0.1552,TRUE,TRUE,FALSE,0.0854,0.3417
