region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
478,2,0.0217,0.3347,TRUE,TRUE,FALSE
479,2,0.0431,0.2136,TRUE,TRUE,FALSE
480,2,0,0.0179,FALSE,TRUE,FALSE
481,1,0.0603,NA,TRUE,NA,FALSE
482,2,0.3638,0.1226,TRUE,TRUE,FALSE
483,2,0.0066,0.0227,FALSE,TRUE,FALSE
484,2,0.0247,0.1245,TRUE,TRUE,FALSE
485,1,0.1042,NA,TRUE,NA,FALSE
486,2,0,0,FALSE,FALSE,FALSE
487,1,0.0107,NA,TRUE,NA,FALSE
488,1,0.2368,NA,TRUE,NA,FALSE
489,2,0,0.0978,FALSE,TRUE,FALSE
490,2,0,0,FALSE,FALSE,FALSE
491,2,0.0176,0.0783,TRUE,TRUE,FALSE
492,2,0.0058,0.0422,FALSE,TRUE,FALSE
493,2,0.0012,0.8075,FALSE,TRUE,FALSE
494,2,0.0119,0.1568,TRUE,TRUE,FALSE
495,1,0.0738,NA,TRUE,NA,FALSE
496,2,2e-4,0.2653,FALSE,TRUE,FALSE
497,2,6e-4,0.1792,FALSE,TRUE,FALSE
498,2,2e-4,0.0213,FALSE,TRUE,FALSE
499,2,3e-4,0.0559,FALSE,TRUE,FALSE
500,2,0.0011,0.0947,FALSE,TRUE,FALSE
501,1,1e-4,NA,FALSE,NA,FALSE
502,1,0.0903,NA,TRUE,NA,FALSE
503,2,0.0167,0.3112,TRUE,TRUE,FALSE
504,1,0.0123,NA,TRUE,NA,FALSE
505,1,0.0178,NA,TRUE,NA,FALSE
506,1,0.9538,NA,TRUE,NA,FALSE
507,2,0.0026,0.0401,FALSE,TRUE,FALSE
508,2,0.0074,0.0648,FALSE,TRUE,FALSE
509,1,0.1621,NA,TRUE,NA,FALSE
510,2,0,0.0017,FALSE,FALSE,FALSE
511,2,0.0121,0.1587,TRUE,TRUE,FALSE
512,2,0.0095,9e-4,FALSE,FALSE,FALSE
