region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
535,2,0,3e-4,FALSE,FALSE,FALSE,0,0.0101
536,2,0,0.0019,FALSE,FALSE,FALSE,0,0.0352
537,2,0,0,FALSE,FALSE,FALSE,0,0.005
538,2,0.0016,0.7796,FALSE,TRUE,FALSE,0.005,0.9296
539,1,0.9127,NA,TRUE,NA,FALSE,0.9397,0.9246
540,2,1e-4,0.0114,FALSE,TRUE,FALSE,0,0.1256
541,2,0.0014,0.0052,FALSE,FALSE,FALSE,0.005,0.0251
542,2,0.0024,0.3173,FALSE,TRUE,FALSE,0.0151,0.5025
543,2,0.0041,0.0202,FALSE,TRUE,FALSE,0.0603,0.1005
544,1,0.0478,NA,TRUE,NA,FALSE,0.1357,0.0653
545,2,0,6e-4,FALSE,FALSE,FALSE,0,0.005
546,2,0,0.3021,FALSE,TRUE,FALSE,0,0.5327
547,2,0.0057,0.8044,FALSE,TRUE,FALSE,0.0603,0.8794
548,2,0,0.0019,FALSE,FALSE,FALSE,0,0.0251
549,2,0.0152,0.126,TRUE,TRUE,FALSE,0.1307,0.3015
550,1,0.0269,NA,TRUE,NA,FALSE,0.196,0.1558
551,2,2e-4,0.143,FALSE,TRUE,FALSE,0.0101,0.3819
552,2,0.0089,0.0439,FALSE,TRUE,FALSE,0.0503,0.206
