region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
366,2,0.0094,8e-4,FALSE,FALSE,FALSE
367,2,0.0016,0.178,FALSE,TRUE,FALSE
368,2,2e-4,5e-4,FALSE,FALSE,FALSE
369,1,0.0223,NA,TRUE,NA,FALSE
370,2,0.0058,0.0025,FALSE,FALSE,FALSE
371,2,0.009,0.0016,FALSE,FALSE,FALSE
372,2,5e-4,0,FALSE,FALSE,FALSE
373,2,0.5707,0.0816,TRUE,TRUE,FALSE
374,2,0.435,0.375,TRUE,TRUE,FALSE
375,2,2e-4,0.087,FALSE,TRUE,FALSE
376,2,1e-4,5e-4,FALSE,FALSE,FALSE
377,1,0.0205,NA,TRUE,NA,FALSE
378,2,0.3721,0.0438,TRUE,TRUE,FALSE
379,2,2e-4,0.3439,FALSE,TRUE,FALSE
380,2,0,0.0024,FALSE,FALSE,FALSE
381,2,0.0049,0.3718,FALSE,TRUE,FALSE
382,2,9e-4,0.0524,FALSE,TRUE,FALSE
383,2,0.0146,0.0396,TRUE,TRUE,FALSE
384,2,0.0673,0.0023,TRUE,FALSE,FALSE
385,1,0.6388,NA,TRUE,NA,FALSE
386,2,0.1398,0.0022,TRUE,FALSE,FALSE
387,1,0.003,NA,FALSE,NA,FALSE
388,2,0.0088,0.4158,FALSE,TRUE,FALSE
389,2,0.3183,0.5108,TRUE,TRUE,FALSE
390,1,0.4928,NA,TRUE,NA,FALSE
391,1,0.9723,NA,TRUE,NA,FALSE
392,2,0.0147,0.0517,TRUE,TRUE,FALSE
393,2,0.0155,5e-4,TRUE,FALSE,FALSE
394,1,0.7792,NA,TRUE,NA,FALSE
395,2,0.002,0.2165,FALSE,TRUE,FALSE
396,2,0.0566,0.0051,TRUE,FALSE,FALSE
397,2,0.0421,0.0895,TRUE,TRUE,FALSE
398,2,0.0107,0.0867,TRUE,TRUE,FALSE
399,2,0.0012,0.2256,FALSE,TRUE,FALSE
400,2,0.0014,0.0093,FALSE,FALSE,FALSE
401,2,0.0058,0.0583,FALSE,TRUE,FALSE
402,2,0.0983,0.1435,TRUE,TRUE,FALSE
403,1,0.2128,NA,TRUE,NA,FALSE
404,2,0.0139,6e-4,TRUE,FALSE,FALSE
405,1,0.6053,NA,TRUE,NA,FALSE
406,2,0.5402,0.088,TRUE,TRUE,FALSE
407,2,0.0394,0.012,TRUE,TRUE,FALSE
408,2,0.0747,0.0737,TRUE,TRUE,FALSE
409,2,0.0892,0.8238,TRUE,TRUE,FALSE
410,1,0.0087,NA,FALSE,NA,FALSE
411,2,0.0348,0.7562,TRUE,TRUE,FALSE
412,2,0.2162,0.8185,TRUE,TRUE,FALSE
413,2,2e-4,3e-4,FALSE,FALSE,FALSE
414,1,0.0092,NA,FALSE,NA,FALSE
415,2,0,0.001,FALSE,FALSE,FALSE
416,2,1e-4,0.6289,FALSE,TRUE,FALSE
417,1,0.1242,NA,TRUE,NA,FALSE
418,2,0.0019,0.6541,FALSE,TRUE,FALSE
419,2,0.0035,0.7549,FALSE,TRUE,FALSE
420,2,0.0058,0.0765,FALSE,TRUE,FALSE
421,1,0.2585,NA,TRUE,NA,FALSE
422,2,0.0015,0.1326,FALSE,TRUE,FALSE
423,2,0.0012,0.3514,FALSE,TRUE,FALSE
424,1,0.5484,NA,TRUE,NA,FALSE
425,2,2e-4,0.002,FALSE,FALSE,FALSE
426,2,8e-4,0.746,FALSE,TRUE,FALSE
427,1,0.0665,NA,TRUE,NA,FALSE
428,2,0,0.0236,FALSE,TRUE,FALSE
429,1,1e-4,NA,FALSE,NA,FALSE
430,2,0.002,0.0244,FALSE,TRUE,FALSE
