region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank
344,2,0.0028,0.0512,FALSE,TRUE,FALSE
345,2,0,0.0148,FALSE,TRUE,FALSE
346,2,6e-4,0.0104,FALSE,TRUE,FALSE
347,2,0,0.3111,FALSE,TRUE,FALSE
348,1,0.0572,NA,TRUE,NA,FALSE
349,2,0,0.0095,FALSE,FALSE,FALSE
350,2,0,5e-4,FALSE,FALSE,FALSE
351,2,0,0.0111,FALSE,TRUE,FALSE
352,2,0,0.3916,FALSE,TRUE,FALSE
353,2,0,0.1225,FALSE,TRUE,FALSE
354,2,0,0.0019,FALSE,FALSE,FALSE
355,2,0,0.0172,FALSE,TRUE,FALSE
356,2,1e-4,0.0031,FALSE,FALSE,FALSE
357,2,0,0.3365,FALSE,TRUE,FALSE
358,1,0.5366,NA,TRUE,NA,FALSE
359,2,0,0.113,FALSE,TRUE,FALSE
360,2,0,0.6922,FALSE,TRUE,FALSE
361,2,0.0042,0.0813,FALSE,TRUE,FALSE
362,2,7e-4,0.1169,FALSE,TRUE,FALSE
363,2,0,0.0015,FALSE,FALSE,FALSE
364,2,2e-4,0.7647,FALSE,TRUE,FALSE
365,2,4e-4,0.4033,FALSE,TRUE,FALSE
366,2,0,0.1182,FALSE,TRUE,FALSE
367,2,0,0.1186,FALSE,TRUE,FALSE
368,2,0,3e-4,FALSE,FALSE,FALSE
369,1,7e-4,NA,FALSE,NA,FALSE
370,2,0.0011,0.2732,FALSE,TRUE,FALSE
371,2,3e-4,0.2806,FALSE,TRUE,FALSE
372,2,9e-4,4e-4,FALSE,FALSE,FALSE
373,2,1e-4,0.1709,FALSE,TRUE,FALSE
374,2,4e-4,0.4284,FALSE,TRUE,FALSE
375,2,0,0.5041,FALSE,TRUE,FALSE
376,2,0,0,FALSE,FALSE,FALSE
377,2,0,0.0712,FALSE,TRUE,FALSE
378,2,0.0323,0.0313,TRUE,TRUE,FALSE
379,2,3e-4,0.3499,FALSE,TRUE,FALSE
380,2,0,0.0032,FALSE,FALSE,FALSE
381,2,3e-4,0.5297,FALSE,TRUE,FALSE
382,2,0,2e-4,FALSE,FALSE,FALSE
383,2,0,0.0087,FALSE,FALSE,FALSE
384,2,0,0.001,FALSE,FALSE,FALSE
385,2,0.013,0.8023,TRUE,TRUE,FALSE
386,2,0,0.011,FALSE,TRUE,FALSE
387,2,0,0.0384,FALSE,TRUE,FALSE
388,2,0,0.068,FALSE,TRUE,FALSE
389,2,9e-4,0.7493,FALSE,TRUE,FALSE
390,1,0.1198,NA,TRUE,NA,FALSE
391,2,0,0.9738,FALSE,TRUE,FALSE
392,2,0,0.0339,FALSE,TRUE,FALSE
393,2,0.0017,0.007,FALSE,FALSE,FALSE
394,1,0.7658,NA,TRUE,NA,FALSE
395,2,0,0.0202,FALSE,TRUE,FALSE
396,2,0.1622,0.385,TRUE,TRUE,FALSE
397,2,0.0072,0.099,FALSE,TRUE,FALSE
398,2,5e-4,0.057,FALSE,TRUE,FALSE
399,2,0,0.3527,FALSE,TRUE,FALSE
400,2,0,0.0598,FALSE,TRUE,FALSE
401,2,0,0.0012,FALSE,FALSE,FALSE
402,2,0.0482,0.182,TRUE,TRUE,FALSE
403,1,8e-4,NA,FALSE,NA,FALSE
404,2,0,5e-4,FALSE,FALSE,FALSE
405,1,0.7348,NA,TRUE,NA,FALSE
406,2,0.5402,0.088,TRUE,TRUE,FALSE
407,2,0,0.0151,FALSE,TRUE,FALSE
408,2,0.0282,0.0524,TRUE,TRUE,FALSE
409,2,2e-4,0.3894,FALSE,TRUE,FALSE
410,1,1e-4,NA,FALSE,NA,FALSE
411,2,0,0.2707,FALSE,TRUE,FALSE
412,2,0.4238,0.1614,TRUE,TRUE,FALSE
413,1,0.1549,NA,TRUE,NA,FALSE
414,2,1e-4,0.002,FALSE,FALSE,FALSE
415,2,0,0.0097,FALSE,FALSE,FALSE
416,2,0,0.1209,FALSE,TRUE,FALSE
417,2,0.0071,0.3275,FALSE,TRUE,FALSE
418,2,0.0013,0.7737,FALSE,TRUE,FALSE
419,2,0.0012,0.8197,FALSE,TRUE,FALSE
420,1,1e-4,NA,FALSE,NA,FALSE
421,1,0.4354,NA,TRUE,NA,FALSE
422,2,1e-4,0.1459,FALSE,TRUE,FALSE
423,1,0.1163,NA,TRUE,NA,FALSE
424,1,0.6396,NA,TRUE,NA,FALSE
425,2,1e-4,0.0014,FALSE,FALSE,FALSE
426,2,9e-4,0.6386,FALSE,TRUE,FALSE
427,2,7e-4,0.1251,FALSE,TRUE,FALSE
428,2,0,0.0116,FALSE,TRUE,FALSE
429,1,0,NA,FALSE,NA,FALSE
430,2,2e-4,0.3081,FALSE,TRUE,FALSE
431,2,0.018,0.064,TRUE,TRUE,FALSE
432,2,0,0.0024,FALSE,FALSE,FALSE
433,2,0.0048,0.0195,FALSE,TRUE,FALSE
434,2,0.0044,0.017,FALSE,TRUE,FALSE
435,2,0.0227,0.0374,TRUE,TRUE,FALSE
436,1,0.1844,NA,TRUE,NA,FALSE
437,2,0.0105,0.5459,TRUE,TRUE,FALSE
438,2,1e-4,0.0026,FALSE,FALSE,FALSE
439,2,0,2e-4,FALSE,FALSE,FALSE
440,2,0.0127,0.3828,TRUE,TRUE,FALSE
