region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
340,1,0.0937,NA,TRUE,NA,FALSE,0.1859,0.196
341,2,0,0.0408,FALSE,TRUE,FALSE,0,0.1055
342,2,0,1e-4,FALSE,FALSE,FALSE,0,0
343,1,0.0134,NA,TRUE,NA,FALSE,0.0653,0.0603
344,2,0.0028,0.0512,FALSE,TRUE,FALSE,0.0251,0.1156
345,2,0,0.0148,FALSE,TRUE,FALSE,0,0.0754
346,2,6e-4,0.0104,FALSE,TRUE,FALSE,0,0.0653
347,2,0,0.3111,FALSE,TRUE,FALSE,0,0.4322
348,1,0.0572,NA,TRUE,NA,FALSE,0.1005,0.1658
349,2,0,0.0095,FALSE,FALSE,FALSE,0,0.0603
350,2,0,5e-4,FALSE,FALSE,FALSE,0,0.0151
351,2,0,0.0111,FALSE,TRUE,FALSE,0.005,0.0553
352,2,0,0.3916,FALSE,TRUE,FALSE,0,0.5628
353,2,0,0.1225,FALSE,TRUE,FALSE,0,0.3015
354,2,0,0.0019,FALSE,FALSE,FALSE,0,0.0151
355,2,0,0.0172,FALSE,TRUE,FALSE,0,0.0653
356,2,1e-4,0.0031,FALSE,FALSE,FALSE,0,0.0352
357,2,0,0.3365,FALSE,TRUE,FALSE,0,0.5327
358,1,0.5366,NA,TRUE,NA,FALSE,0.6734,0.6281
359,2,0,0.113,FALSE,TRUE,FALSE,0,0.2362
360,2,0,0.6922,FALSE,TRUE,FALSE,0,0.794
361,2,0.0042,0.0813,FALSE,TRUE,FALSE,0.0352,0.1558
362,2,7e-4,0.1169,FALSE,TRUE,FALSE,0.005,0.2864
363,2,0,0.0015,FALSE,FALSE,FALSE,0,0.0151
364,2,2e-4,0.7647,FALSE,TRUE,FALSE,0.0101,0.8794
365,2,4e-4,0.4033,FALSE,TRUE,FALSE,0.005,0.5578
366,2,0,0.1182,FALSE,TRUE,FALSE,0,0.1809
367,2,0,0.1186,FALSE,TRUE,FALSE,0,0.196
