;SEM IIS;;;;COM IIS;;;;0;1;1
region;AIC;BIC;HaQ;;AIC;BIC;HaQ;;;;
256;27,5284;30,4371;28,696;;26,7392;27,4796;27,0364;;1;1;1
257;31,1085;34,0172;32,2761;;29,7831;30,9995;30,2714;;1;1;1
258;23,3541;26,2629;24,5217;;22,693;23,5127;23,022;;1;1;1
259;25,3771;28,2858;26,5447;;24,9447;25,8438;25,3056;;1;1;1
260;22,3593;25,2681;23,5269;;21,6928;22,3538;21,9581;;1;1;1
261;27,6162;30,525;28,7839;;26,8035;27,8876;27,2387;;1;1;1
262;25,7429;28,6517;26,9105;;25,5572;26,7471;26,0348;;1;1;1
263;23,2286;26,1109;24,3856;;22,1448;23,0703;22,5164;;1;1;1
264;25,1398;28,0486;26,3075;;24,37;25,8243;24,9538;;1;1;1
265;26,1095;29,0183;27,2772;;25,4971;26,2375;25,7943;;1;1;1
266;26,941;29,8498;28,1087;;26,0712;27,0231;26,4533;;1;1;1
267;29,32;32,2288;30,4877;;27,3443;28,7193;27,8963;;1;1;1
268;33,487;36,3957;34,6546;;32,3195;33,2979;32,7122;;1;1;1
269;31,8086;34,7173;32,9762;;31,187;32,2711;31,6222;;1;1;1
270;30,7526;33,6613;31,9202;;30,4461;31,3452;30,807;;1;1;1
271;30,8744;33,7831;32,042;;30,5171;31,522;30,9205;;1;1;1
272;30,7748;33,6835;31,9424;;29,8989;30,6393;30,1961;;1;1;1
273;29,6142;32,5229;30,7818;;29,0401;29,7541;29,3267;;1;1;1
274;25,7579;28,6666;26,9255;;25,0582;26,0631;25,4616;;1;1;1
275;26,0627;28,9714;27,2303;;24,908;25,7277;25,237;;1;1;1
276;28,9379;31,8466;30,1055;;26,7045;28,2646;27,3308;;1;1;1
277;30,2883;33,1706;31,4453;;29,4378;30,4691;29,8518;;1;1;1
278;24,0072;26,9159;25,1748;;22,3963;23,8242;22,9695;;1;1;1
279;26,2923;29,201;27,4599;;25,1178;26,4664;25,6591;;1;1;1
280;40,784;43,6928;41,9517;;38,8422;40,2701;39,4154;;1;1;1
281;30,8027;33,7115;31,9704;;28,7756;29,516;29,0728;;1;1;1
282;21,0001;23,8823;22,1571;;20,5385;21,6226;20,9737;;1;1;1
283;29,2109;32,1196;30,3785;;28,2733;28,9608;28,5493;;1;1;1
284;29,5186;32,4273;30,6862;;27,9353;28,6757;28,2325;;1;1;1
285;24,85;27,7587;26,0176;;22,9203;24,0045;23,3555;;1;1;1
286;23,9453;26,854;25,1129;;23,1354;23,9287;23,4538;;1;1;1
287;29,1979;32,0802;30,3549;;28,1935;29,4363;28,6924;;1;1;1
288;23,1157;25,998;24,2727;;21,6955;22,8061;22,1413;;1;1;1
289;32,1798;35,0885;33,3474;;31,3076;31,8894;31,5412;;1;1;1
